src,dst,layer,mult,minDepth
AddCommGroup.toGrindIntModule,AddCommGroup,body,1,3
AddCommGroup.toGrindIntModule,AddCommGroup,type,1,3
AddCommGroup.toGrindIntModule,AddCommGroup.add_comm,body,1,18
AddCommGroup.toGrindIntModule,AddCommGroup.toAddGroup,body,6,13
AddCommGroup.toGrindIntModule,AddCommGroup.toGrindIntModule._proof_1,body,1,9
AddCommGroup.toGrindIntModule,AddCommGroup.toGrindIntModule._proof_2,body,1,19
AddCommGroup.toGrindIntModule,AddCommGroup.toGrindIntModule._proof_3,body,1,17
AddCommGroup.toGrindIntModule,AddCommGroup.toGrindIntModule._proof_4,body,1,13
AddCommGroup.toGrindIntModule,AddCommGroup.toGrindIntModule._proof_5,body,1,12
AddCommGroup.toGrindIntModule,AddCommGroup.toGrindIntModule._proof_6,body,1,8
AddCommGroup.toGrindIntModule,AddCommGroup.toGrindIntModule._proof_7,body,1,7
AddCommGroup.toGrindIntModule,AddCommGroup.toGrindIntModule._proof_8,body,1,6
AddCommGroup.toGrindIntModule,AddGroup.toSubNegMonoid,body,6,12
AddCommGroup.toGrindIntModule,AddMonoid.toAddSemigroup,body,1,21
AddCommGroup.toGrindIntModule,AddMonoid.toNSMul,body,1,12
AddCommGroup.toGrindIntModule,AddMonoid.toZero,body,1,21
AddCommGroup.toGrindIntModule,AddSemigroup.toAdd,body,1,20
AddCommGroup.toGrindIntModule,Int,body,1,10
AddCommGroup.toGrindIntModule,Lean.Grind.AddCommGroup.mk,body,1,15
AddCommGroup.toGrindIntModule,Lean.Grind.AddCommMonoid.mk,body,1,20
AddCommGroup.toGrindIntModule,Lean.Grind.IntModule,type,1,3
AddCommGroup.toGrindIntModule,Lean.Grind.IntModule.mk,body,1,10
AddCommGroup.toGrindIntModule,NSMul.nsmul,body,1,11
AddCommGroup.toGrindIntModule,Nat,body,2,4
AddCommGroup.toGrindIntModule,SMul.mk,body,2,10
