,in_deg,out_deg,in_wdeg,out_wdeg,deg,deg_ratio,is_sink,is_source,nbr_deg_mean,nbr_deg_max,dag_layer_norm,pagerank_dep,pagerank_use,hits_hub,hits_auth,coreness,betweenness_approx,harmonic_in,is_articulation,reach_dependencies,reach_dependents,community_size,within_comm_z,participation,n_neighbor_comms,neighbor_comm_entropy,cross_comm_frac,type_in_deg,type_in_wdeg,type_out_deg,type_out_wdeg,type_in_depth_min,type_in_depth_mean,body_in_deg,body_in_wdeg,body_out_deg,body_out_wdeg,body_in_depth_min,body_in_depth_mean,stmt_body_in_ratio,relation_entropy_in,mult_per_unique_in
AddCancelCommMonoid,2,0,4.0,0.0,2,3.0,1,0,30.5,31.0,0.05,0.00019153492330945384,0.00013336990030734743,-0.0,2.5782599752456265e-09,2,0.0,2.0,0,0,2,1649,-0.40640840249749405,0.0,1,-0.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,3.0,3.0,1.0,0.6931471805599453,1.0
AddCancelCommMonoid.toAddCancelMonoid,2,0,2.0,0.0,2,3.0,1,0,30.5,31.0,0.05,0.000190159313997591,0.00013336990030734743,-0.0,1.2891299876228132e-09,2,0.0,2.0,0,0,2,1649,-0.40640840249749405,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,2.0,0.0,0.0,33.0,33.0,0.3333333333333333,2.172326580816448e-08,1.0
AddCancelCommMonoid.toAddCommMonoid,2,0,48.0,0.0,2,3.0,1,0,30.5,31.0,0.05,0.00022162196800224889,0.00013336990030734743,-0.0,3.096273598668823e-08,2,0.0,2.0,0,0,2,1649,-0.40640840249749405,0.0,1,-0.0,0.0,2.0,4.0,0.0,0.0,18.0,18.0,2.0,44.0,0.0,0.0,18.0,18.0,0.1111111111111111,0.2868359830561607,12.0
AddCancelCommMonoid.toAddLeftCancelMonoid,3,0,3.0,0.0,3,4.0,1,0,61.333333333333336,123.0,0.05,0.00019020772382509244,0.00013336990030734743,-0.0,1.7374977873816202e-07,3,0.0,3.0,0,0,3,1649,-0.40640840249749405,0.4444444444444444,2,0.6365141682948128,0.3333333333333333,0.0,0.0,0.0,0.0,-1.0,-1.0,3.0,3.0,0.0,0.0,29.0,31.0,0.25,2.172326580816448e-08,1.0
AddCancelMonoid.toAddLeftCancelMonoid,3,0,3.0,0.0,3,4.0,1,0,32.333333333333336,36.0,0.15,0.0001911149278576834,0.00013336990030734743,-0.0,5.201120481879912e-09,3,0.0,4.833333333333333,0,0,7,719,-0.5348991737485616,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,3.0,3.0,0.0,0.0,17.0,17.0,0.25,2.172326580816448e-08,1.0
AddCancelMonoid.toAddRightCancelMonoid,5,0,5.0,0.0,5,6.0,1,0,30.0,35.0,0.1,0.00019290708668310815,0.00013336990030734743,-0.0,4.168705827065046e-09,5,0.0,6.0,0,0,7,719,-0.5348991737485616,0.48,2,0.6730116670092565,0.4,0.0,0.0,0.0,0.0,-1.0,-1.0,5.0,5.0,0.0,0.0,15.0,22.4,0.16666666666666666,2.172326580816448e-08,1.0
AddCommGroup,36,0,72.0,0.0,36,37.0,1,0,24.13888888888889,37.0,0.2,0.0003964064871646147,0.00013336990030734743,-0.0,9.071188774287301e-08,21,0.0,37.0,0,0,38,719,0.7529296132156313,0.0,1,-0.0,0.0,36.0,36.0,0.0,0.0,3.0,3.0,36.0,36.0,0.0,0.0,3.0,3.0,1.0,0.6931471805599453,1.0
AddCommGroup.add_comm,1,0,1.0,0.0,1,2.0,1,0,29.0,29.0,0.05,0.0001924265442052111,0.00013336990030734743,-0.0,5.324527509967188e-10,1,0.0,1.0,0,0,1,719,-0.612949403261543,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,18.0,18.0,0.5,2.172326580816448e-08,1.0
AddCommGroup.toAddCancelCommMonoid,1,0,1.0,0.0,1,2.0,1,0,123.0,123.0,0.05,0.00018883211451322957,0.00013336990030734743,-0.0,1.7246064875053937e-07,1,0.0,1.0,0,0,1,719,-0.612949403261543,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,30.0,30.0,0.5,2.172326580816448e-08,1.0
AddCommGroup.toAddCommMonoid,13,0,163.0,0.0,13,14.0,1,0,30.307692307692307,37.0,0.15,0.0002465907249270771,0.00013336990030734743,-0.0,3.1584782604955737e-07,13,0.0,15.0,0,0,17,719,-0.14464802618365466,0.0,1,-0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,13.0,163.0,0.0,0.0,16.0,19.23076923076923,0.006097560975609756,2.172326580816448e-08,12.538461538461538
