name,stored,kind,p3_evaluated,p3_any,files,p3_typeclass-instance,p3_recursor,p3_structure-projection,p3_generated,p3_internal-detail,p3_eq-machinery,p3_logic-core,p3_coercion
AddCancelCommMonoid,0,inductive,1,0,Algebra_Group_Basic,0,0,0,0,0,0,0,0
AddCancelCommMonoid.toAddCancelMonoid,0,def,1,1,Algebra_Group_Basic,1,0,0,0,0,0,0,0
AddCancelCommMonoid.toAddCommMonoid,0,def,1,1,Algebra_Group_Basic,1,0,1,0,0,0,0,0
AddCancelCommMonoid.toAddLeftCancelMonoid,0,def,1,1,Algebra_Group_Basic|Analysis_SpecialFunctions_Log_Basic,1,0,0,0,0,0,0,0
AddCancelMonoid.toAddLeftCancelMonoid,0,def,1,1,Algebra_Group_Basic,1,0,1,0,0,0,0,0
AddCancelMonoid.toAddRightCancelMonoid,0,def,1,1,Algebra_Group_Basic,1,0,0,0,0,0,0,0
AddCommGroup,0,inductive,1,0,Algebra_Group_Basic,0,0,0,0,0,0,0,0
AddCommGroup.add_comm,0,axiom,1,1,Algebra_Group_Basic,0,0,1,0,0,0,0,0
AddCommGroup.toAddCancelCommMonoid,0,def,1,1,Analysis_SpecialFunctions_Log_Basic,1,0,0,0,0,0,0,0
AddCommGroup.toAddCommMonoid,0,def,1,1,Algebra_Group_Basic,1,0,0,0,0,0,0,0
AddCommGroup.toAddGroup,0,def,1,1,Algebra_Group_Basic|Analysis_SpecialFunctions_Log_Basic,1,0,1,0,0,0,0,0
AddCommGroup.toDivisionAddCommMonoid,0,def,1,1,Algebra_Group_Basic|Analysis_SpecialFunctions_Log_Basic,1,0,0,0,0,0,0,0
AddCommGroup.toGrindIntModule,1,def,0,0,Algebra_Group_Basic,0,0,0,0,0,0,0,0
AddCommGroup.toGrindIntModule._proof_1,1,theorem,1,1,Algebra_Group_Basic,0,0,0,0,1,0,0,0
AddCommGroup.toGrindIntModule._proof_2,1,theorem,1,1,Algebra_Group_Basic,0,0,0,0,1,0,0,0
AddCommGroup.toGrindIntModule._proof_3,1,theorem,1,1,Algebra_Group_Basic,0,0,0,0,1,0,0,0
AddCommGroup.toGrindIntModule._proof_4,1,theorem,1,1,Algebra_Group_Basic,0,0,0,0,1,0,0,0
AddCommGroup.toGrindIntModule._proof_5,1,theorem,1,1,Algebra_Group_Basic,0,0,0,0,1,0,0,0
AddCommGroup.toGrindIntModule._proof_6,1,theorem,1,1,Algebra_Group_Basic,0,0,0,0,1,0,0,0
AddCommGroup.toGrindIntModule._proof_7,1,theorem,1,1,Algebra_Group_Basic,0,0,0,0,1,0,0,0
AddCommGroup.toGrindIntModule._proof_8,1,theorem,1,1,Algebra_Group_Basic,0,0,0,0,1,0,0,0
AddCommMagma.toAdd,0,def,1,1,Algebra_Group_Basic|Analysis_SpecialFunctions_Log_Basic|Data_Nat_GCD_Basic,1,0,1,0,0,0,0,0
AddCommMagma.to_isCommutative,0,axiom,1,1,Algebra_Group_Basic,1,0,0,0,0,0,0,0
AddCommMonoid,0,inductive,1,0,Algebra_Group_Basic,0,0,0,0,0,0,0,0
AddCommMonoid.add_comm,0,axiom,1,1,Algebra_Group_Basic,0,0,1,0,0,0,0,0
AddCommMonoid.toAddCommSemigroup,0,def,1,1,Algebra_Group_Basic,1,0,0,0,0,0,0,0
AddCommMonoid.toAddMonoid,0,def,1,1,Algebra_Group_Basic|Analysis_SpecialFunctions_Log_Basic,1,0,1,0,0,0,0,0
AddCommMonoid.toGrindNatModule,1,def,0,0,Algebra_Group_Basic,0,0,0,0,0,0,0,0
AddCommMonoid.toGrindNatModule._proof_1,1,theorem,1,1,Algebra_Group_Basic,0,0,0,0,1,0,0,0
AddCommMonoid.toGrindNatModule._proof_2,1,theorem,1,1,Algebra_Group_Basic,0,0,0,0,1,0,0,0
AddCommMonoid.toGrindNatModule._proof_3,1,theorem,1,1,Algebra_Group_Basic,0,0,0,0,1,0,0,0
AddCommMonoid.toGrindNatModule._proof_4,1,theorem,1,1,Algebra_Group_Basic,0,0,0,0,1,0,0,0
AddCommMonoidWithOne.toAddMonoidWithOne,0,def,1,1,Analysis_SpecialFunctions_Log_Basic,1,0,1,0,0,0,0,0
AddCommSemigroup,0,inductive,1,0,Algebra_Group_Basic,0,0,0,0,0,0,0,0
AddCommSemigroup.toAddCommMagma,0,def,1,1,Algebra_Group_Basic|Analysis_SpecialFunctions_Log_Basic|Data_Nat_GCD_Basic,1,0,0,0,0,0,0,0
AddCommSemigroup.toAddSemigroup,0,def,1,1,Algebra_Group_Basic,1,0,1,0,0,0,0,0
AddGroup,0,inductive,1,0,Algebra_Group_Basic,0,0,0,0,0,0,0,0
AddGroup.addLeftReflectLE_of_addLeftMono,0,axiom,1,1,Analysis_SpecialFunctions_Log_Basic,1,0,0,0,0,0,0,0
AddGroup.neg_add_cancel,0,axiom,1,1,Algebra_Group_Basic,0,0,1,0,0,0,0,0
AddGroup.toAddCancelMonoid,0,def,1,1,Algebra_Group_Basic,1,0,0,0,0,0,0,0
AddGroup.toOrderedSub,0,axiom,1,1,Analysis_SpecialFunctions_Log_Basic,1,0,0,0,0,0,0,0
